Field,LocalizationKey,English,TemplateCount,Categories,Templates
description,Template/description_locString_2543871262668956605_b27ae1e6c9df5514f9816d4833ff30fc,"Set [StatEnum_0] to [SetValueCalculated_0] for [DurationCalculated_0] seconds.
Increase [StatEnum_1] by [AddValueCalculated_1] for [DurationCalculated_1] seconds.",1,potion,ItemTemplate_Alchemy_TaintedRoseWater
description,Template/description_locString_2543871262668956605_bb296293b8bf193419be90080eadda56,Greatly increases Strength but makes the user extremely vulnerable.,1,potion,ItemTemplate_Alchemy_ThrillSeekersBrew
description,Template/description_locString_2543871262668956605_bc8223ff8c352d54eaa5bcf184f08c87,,1,food,ItemTemplate_Crafting_Alchemy_Grog
description,Template/description_locString_2543871262668956605_bce608222af360640b8f5a07b1fd41a4,"Restores 100% Health, 100% Mana, and 100% Stamina.",1,potion,ItemTemplate_Alchemy_QueensHoney
description,Template/description_locString_2543871262668956605_bf6b977fbf732d948b3c24920d303fe1,"Increase [StatEnum_0] by [AddValueCalculated_0] for [DurationCalculated_0] seconds.
Decrease [StatEnum_1] by [LoseValueCalculated_1] for [DurationCalculated_1] seconds.
Lose [HealValueCalculated_2] [StatEnum_2].",1,potion,ItemTemplate_Alchemy_ThirdEye
description,Template/description_locString_2543871262668956605_c01d46f1289ca7144bb6f6116fcb89aa,"Greatly reduces HP and Mana, but locks [Stat] at 100% for [DurationCalculated] seconds.",1,potion,ItemTemplate_Alchemy_LastStand
description,Template/description_locString_2543871262668956605_c2f4784d56f7dc746b9fd85b0d0c60c8,"Grants a Blessing of Sarras, making creatures of Sarras weaker for [DurationCalculated]s.",1,potion,ItemTemplate_Alchemy_SoS_BlessingOfSarrasInABottle
description,Template/description_locString_2543871262668956605_c423d5424b1c0bc4e8b6513e97c2790b,Increases [StatEnum] by [AddValueCalculated] over [DurationCalculated] seconds.,1,potion,ItemTemplate_Alchemy_WildvinePulp
description,Template/description_locString_2543871262668956605_c519f05667275fe478b4711a732ecacd,Lose [HealValueCalculated] [StatEnum].,1,food,ItemTemplate_Crafting_Alchemy_Bloodclot
description,Template/description_locString_2543871262668956605_c68e95cabfc4dc34aade52d6da7069fc,,1,food,ItemTemplate_Cooking_ZZZ_Generic_Trash
description,Template/description_locString_2543871262668956605_c7a252d84abdc16428bae2fba9766cf7,"Coats weapon, inflicting Confusion build-up.",1,potion,ItemTemplate_Alchemy_DreadfulMush
description,Template/description_locString_2543871262668956605_cd946316fed2889409f615d7055fbec3,,1,food,ItemTemplate_Crafting_Alchemy_Rum
description,Template/description_locString_2543871262668956605_cec941045634677458adffa421ef0ade,Apply Bleed ([BuildupCalculated]) to weapon.,1,potion,ItemTemplate_Alchemy_MouthfulofBlood
description,Template/description_locString_2543871262668956605_cf36111f68cfc3a4f87ee1f063d800ed,"Restores [HealValue] health over [Duration]s.
Restores [HealPercent]% of [StatEnum_1] over [DurationCalculated_0]s.",1,food,ItemTemplate_Crafting_Alchemy_MonsterBrain
description,Template/description_locString_2543871262668956605_cff249e86c28988458d402d6d4831146,"Decrease [StatEnum_0] by [LoseValueCalculated_0] for [DurationCalculated_0] seconds.
Increase [StatEnum_1] by [AddValueCalculated_1] for [DurationCalculated_1] seconds.",1,potion,ItemTemplate_Alchemy_MindOverMatter
description,Template/description_locString_2543871262668956605_d2a004637e74d234cb56541e6fc67884,Increases [StatEnum_0] at the cost of [StatEnum_1].,1,potion,ItemTemplate_Alchemy_WolfHunger
description,Template/description_locString_2543871262668956605_d2f03e9132d06fd40ab2297580882d64,"Coats weapon for [{BuffDuration}] seconds, inflicting <k=StatusChilled>Chill</k> build-up.",1,potion,ItemTemplate_CrazyConsumable_FoolsRush
description,Template/description_locString_2543871262668956605_d870cdfe134f50f4bb8a8c622622261b,"Coats weapon, inflicting Corruption build-up.",1,potion,ItemTemplate_Alchemy_CorrosiveBlood
description,Template/description_locString_2543871262668956605_da483068c96a91944a36dccf124db269,Apply Poison ([BuildupCalculated]) to weapon.,1,potion,ItemTemplate_Alchemy_CrimsonbaneVenom
description,Template/description_locString_2543871262668956605_da80d847687f5f345a2359e07fe184db,Restores [HealValueCalculated:P0] [StatEnum] and gets one Drunk.,1,potion,ItemTemplate_Alchemy_FaerieMush
description,Template/description_locString_2543871262668956605_db1f85652c5f41148bcbd00c8708a34a,Apply Confusion ([BuildupCalculated]) to weapon.,1,potion,ItemTemplate_Alchemy_DangerousMixture
description,Template/description_locString_2543871262668956605_dd2179f3f3a76114eaa2e93a9188096f,Apply Weak ([BuildupCalculated]) to weapon.,1,potion,ItemTemplate_Alchemy_BoundHeart
description,Template/description_locString_2543871262668956605_de842128ae26ceb45b6625190805c0d4,Heals [HealValueCalculated] [StatEnum] over [DurationCalculated] seconds.,1,potion,ItemTemplate_Alchemy_StomachicSecondVariant
description,Template/description_locString_2543871262668956605_e15d23819f794eb41b4f74588dca228d,Increase [StatEnum] by [AddValueCalculated] for [DurationCalculated] seconds.,1,potion,ItemTemplate_Alchemy_StagfatherBrew
description,Template/description_locString_2543871262668956605_e4a9cf55ffa27754daac6c45cf3d160b,Locks [Stat] at 100% for [DurationCalculated]s.,1,food,ItemTemplate_CrazyConsumable_EvilEye
description,Template/description_locString_2543871262668956605_e690c29745998964a8e7048db253a4e6,Increase [StatEnum] by [AddValueCalculated] for [DurationCalculated] seconds.,1,potion,ItemTemplate_Alchemy_KeenEye
description,Template/description_locString_2543871262668956605_e75e7b4a48a03a14f9ad05a7f7abc9ec,"Consumption reduces strength of your attacks.
Decrease [StatEnum_0] by [LoseValueCalculated_0] for [Duration_0] seconds.
Decrease [StatEnum_1] by [LoseValueCalculated_1] for [Duration_1] seconds.",1,potion,ItemTemplate_Alchemy_GardenersTonic
description,Template/description_locString_2543871262668956605_ea7dbae975ffe0740a7b41919dd68f5d,Applying to a weapon has a [ChanceToApply:P0] chance to inflict <k=StatusStun>Stun</k>.,1,potion,ItemTemplate_Alchemy_BloodcurdlingReagent
description,Template/description_locString_2543871262668956605_eaea6dd2e443d9a4ab0f2344504b5ffc,"Consumption leads to insobriety.
Decrease [StatEnum_0] by [LoseValueCalculated]% for [DurationCalculated_0] seconds.
Increase [StatEnum_1] by [AddValueCalculated] for [DurationCalculated_1] seconds.",1,potion,ItemTemplate_Alchemy_InnerFire
description,Template/description_locString_2543871262668956605_eb19a71b78d64c54997e76fc07ed1ac3,Consumption leads to inebriation.,1,food,ItemTemplate_Crafting_Alchemy_Spirit
description,Template/description_locString_2543871262668956605_ee28fc281073a4048b9822b552f56962,Allows you to breathe underwater for [DurationCalculated]s.,1,potion,ItemTemplate_Alchemy_SoS_GillsOfTheDeepUnderwater
description,Template/description_locString_2543871262668956605_eebf3b56fa783d44398471d9a64b31bb,Decreases stamina usage when drawing a Bow by [ModifyValueCalculated:P0] for [DurationCalculated]s.,1,potion,ItemTemplate_Alchemy_StagfathersTonic
description,Template/description_locString_2543871262668956605_eee12d0c959352b4bbd32c39a77cbe67,,1,potion,ItemTemplate_ItemStory_CT_MaggotTposeElixir
description,Template/description_locString_2543871262668956605_f2d0fcdb053f36b4c878f0b16cd5d01f,,1,potion,ItemTemplate_Alchemy_Serenity
description,Template/description_locString_2543871262668956605_f344a1665c1fc144db60455080ed1d6d,"This potion vastly increases your Strength, Endurance, Dexterity, Spirituality, Practicality, Perception, Damage, Critical Chance, Movement Speed, and Attack Speed, removes Mana and Stamina Costs from your actions, and renders you nigh-invincible for [Duration]s. It also kills you after it wears off.",1,potion,ItemTemplate_Alchemy_TheStrongestPotion
description,Template/description_locString_2543871262668956605_f71cfd5dd42bd4144b61d471022adb58,"Increase [StatEnum_0] by [AddValueCalculated_0] for [DurationCalculated_0] seconds.
Decrease [StatEnum_1] by [LoseValueCalculated_1]% for [DurationCalculated_1] seconds.",1,potion,ItemTemplate_Alchemy_UlfrTribesSpecialBrew
description,Template/description_locString_2543871262668956605_f9080409b9e4d9c4b9e8a4fed9195cd7,"Increase [StatEnum_0] by [AddValueCalculated_0] for [DurationCalculated_0] seconds.
Lose [HealValueCalculated_1] [StatEnum_1] over [DurationCalculated_1] seconds.",1,potion,ItemTemplate_Alchemy_ReasonandSoul
description,Template/description_locString_2543871262668956605_f9737715264d4764e888f5579504450b,"Restores [HealValue_0] health over [DurationCalculated_0]s.
Increases [StatEnum_1] by [AddValueCalculated_1] for [DurationCalculated_1]s.",1,food,ItemTemplate_Cooking_Custom_OnionBun
description,Template/description_locString_2543871262668956605_fbd347d265e701c44ae26a26d8536fa9,"Consumption leads to insobriety.
Increase [StatEnum_0] by [AddValueCalculated_0] for [DurationCalculated_0] seconds.
Lose [HealValueCalculated_1] [StatEnum_1] over [DurationCalculated_1] seconds.",1,potion,ItemTemplate_Alchemy_Wyrdsublime
description,Template/description_locString_2543871262668956605_fbf0ee568a89d6e48869b24a9bbd7026,"Increase [StatEnum_0] by [AddValueCalculated_0] for [DurationCalculated_0] seconds.
Decrease [StatEnum_1] by [LoseValueCalculated_1] for [DurationCalculated_1] seconds.",1,potion,ItemTemplate_Alchemy_PromiseofStorm
description,Template/description_locString_2543871262668956605_fd3d057e2c874ab4d9adfb14a5d2a3f8,Consumption leads to Salvation.,1,potion,ItemTemplate_Alchemy_DesolateOnesConsolation
description,description_generic_consumable_increasesummonstat,Increases [StatEnum] of your Summons by [ValueCalculated:P0] for [DurationCalculated]s.,1,potion,ItemTemplate_Alchemy_CallersGrace
description,description_generic_restorepercentofmaxstat,Restores [HealValueCalculated:P0] [StatEnum].,6,potion,ItemTemplate_Alchemy_AromaticRemedy | ItemTemplate_Alchemy_DigestionTincture | ItemTemplate_Alchemy_DruidsFriend | ItemTemplate_Alchemy_ManaElixir | ItemTemplate_Alchemy_SoS_HeadAboveWaterManaPercent | ItemTemplate_Alchemy_SoS_SeaLegsBrewHealthPercent
description,description_generic_restorestat,Restores [HealValueCalculated] [StatEnum].,15,food | potion,ItemTemplate_Alchemy_DisgustingHealthPotion | ItemTemplate_Alchemy_GreatHealthPotion | ItemTemplate_Alchemy_HealthPotion | ItemTemplate_Alchemy_ManaPotion | ItemTemplate_Alchemy_SmallHealthPotion | ItemTemplate_Alchemy_SmallManaPotion | ItemTemplate_Alchemy_SoS_KelpDecoctionBetterHealth | ItemTemplate_Alchemy_SoS_KelpInfusionHealth | ItemTemplate_Alchemy_SoS_LuminousSeawaterBetterMana | ItemTemplate_Alchemy_SoS_SparklingSeawaterMana | ItemTemplate_Alchemy_Stomachic | ItemTemplate_Alchemy_StrongHealthPotion | ItemTemplate_Alchemy_StrongManaPotion | ItemTemplate_Alchemy_ToothacheRemedy | ItemTemplate_Crafting_Alchemy_HealingButterfly
flavor,Template/flavor_locString_2543871262668956605_04266a72c491dc34daa8bda9c4f05206,Sometimes just one clean hit is enough.,1,potion,ItemTemplate_CrazyConsumable_BleederRogue
flavor,Template/flavor_locString_2543871262668956605_0a533f2f76213424f9897d258a588fda,,1,potion,ItemTemplate_CrazyConsumable_BleederRogue
flavor,Template/flavor_locString_2543871262668956605_0c406540e6e3410438bd37350fa274fb,Just the taste of spiritual power.,1,potion,ItemTemplate_Alchemy_SmallManaPotion
flavor,Template/flavor_locString_2543871262668956605_0cc9c8de97b4b584fb16dcc79a30cdd3,,2,food,ItemTemplate_Crafting_Alchemy_SnailSlime | ItemTemplate_Crafting_Alchemy_StrangeToe
flavor,Template/flavor_locString_2543871262668956605_0cea6bf069c429640931fd7fdc640223,This experience is meant to embody the essence of flavor transgression.,1,food,ItemTemplate_Cooking_Custom_SourHerringAndCheese
flavor,Template/flavor_locString_2543871262668956605_1337bcabaeb89ab4881cae7e0317246a,,3,food,ItemTemplate_Crafting_Cooking_Algae | ItemTemplate_Crafting_Cooking_Crab | ItemTemplate_Crafting_Cooking_Seaweed
flavor,Template/flavor_locString_2543871262668956605_1e9fbaa8ef6f96345972f4164519e903,,1,potion,ItemTemplate_Alchemy_SoS_KelpInfusionHealth
flavor,Template/flavor_locString_2543871262668956605_1eb1480545748764280e9ea3df05959b,Missing,1,potion,ItemTemplate_Alchemy_StrongHealingTincture
flavor,Template/flavor_locString_2543871262668956605_1fe532719467f854997c319ddeac57f0,,1,potion,ItemTemplate_Alchemy_SoS_LuminousSeawaterBetterMana
flavor,Template/flavor_locString_2543871262668956605_22b78e03b1a5b2f46be509218809838a,Smells like pure arcane energy and roses.,9,potion,ItemTemplate_Alchemy_AgileHunter | ItemTemplate_Alchemy_BloodSuckerPotion | ItemTemplate_Alchemy_GreatManaPotion | ItemTemplate_Alchemy_LeaperPotion | ItemTemplate_Alchemy_RabbitJuice | ItemTemplate_Alchemy_SlowfallPotion | ItemTemplate_Alchemy_SoS_MindLikeWaterMaxHealth | ItemTemplate_Alchemy_SoS_SoundAsABellMaxMana | ItemTemplate_Alchemy_ThornyPotion
flavor,Template/flavor_locString_2543871262668956605_235f7ed1994d1cc49b6e947c19fab873,,1,potion,ItemTemplate_Alchemy_ElixirOfYouth
flavor,Template/flavor_locString_2543871262668956605_2401daf603c7dea4996fd5be51eee651,,1,food,ItemTemplate_Crafting_Alchemy_SpoiledMeat
flavor,Template/flavor_locString_2543871262668956605_24227a141c98ea24398f90e97b51c033,Missing,1,potion,ItemTemplate_Alchemy_GreaterStagfatherBrew
flavor,Template/flavor_locString_2543871262668956605_24ee9fa008f31864bb1503a9583b7607,Most common druidic potion.,1,potion,ItemTemplate_Alchemy_ManaPotion
flavor,Template/flavor_locString_2543871262668956605_259846749625c19478642c3bd9364a93,Allows the warrior to regain their vigor just before the decisive fight.,1,potion,ItemTemplate_Alchemy_RejuvenationPotion
flavor,Template/flavor_locString_2543871262668956605_25fec1096702b6248ba146603ef5322b,,1,food,ItemTemplate_Crafting_Alchemy_Brain
flavor,Template/flavor_locString_2543871262668956605_26e8fad854345c044b327728037f3fa7,"If it stinks, cut off your nose. Problem solved. If it tastes foul, slice your tongue off. No taste, no complaints.",1,food,ItemTemplate_Consumable_Quest_GreatMistake
flavor,Template/flavor_locString_2543871262668956605_26ee21ac7445f5941855e34dfed2d70b,"Works almost as good against mages, as slitting their throats.",1,potion,ItemTemplate_Alchemy_SilentDraught
flavor,Template/flavor_locString_2543871262668956605_29de8192c5e756048970aa5ed178596d,Essential when escaping from Wyrdness aberrations.,1,potion,ItemTemplate_Alchemy_SwiftSteps
flavor,Template/flavor_locString_2543871262668956605_30be4a8bfca6a994d8f6ab6da199f84f,Missing,1,potion,ItemTemplate_Alchemy_HangmansBlood
flavor,Template/flavor_locString_2543871262668956605_34a437fae52f44c4ea5b4173a019b079,A strange druidic potion.,1,potion,ItemTemplate_Alchemy_DruidsTincture
flavor,Template/flavor_locString_2543871262668956605_38c6e42bc3d9a1b48af5687e0513bb59,,1,food,ItemTemplate_Crafting_Alchemy_Heart
flavor,Template/flavor_locString_2543871262668956605_393454d6bd221054cb3fbff112bbdfef,,1,food,ItemTemplate_Cooking_Custom_CheeseBallDoom
flavor,Template/flavor_locString_2543871262668956605_3bb217ff58f9cff40ba4adcca79e16e1,Missing,1,potion,ItemTemplate_Alchemy_FireintheBelly
flavor,Template/flavor_locString_2543871262668956605_44c2b2dee9443c2418e237374865fcd4,Used for healing flesh wounds.,1,potion,ItemTemplate_Alchemy_SmallHealthPotion
flavor,Template/flavor_locString_2543871262668956605_46af841360253864b9d5f91d28410f4e,A potion of the Dál Riata berserkers from the Theud tribe.,1,potion,ItemTemplate_Alchemy_MadDog
flavor,Template/flavor_locString_2543871262668956605_4fdfdfd353392814aba0c101353e333c,Nowadays it's made by alchemists rather than scraped off cursed wells.,1,potion,ItemTemplate_CrazyConsumable_MossfromaCursedWell
flavor,Template/flavor_locString_2543871262668956605_535a34c98b80fad49a7a0a17db8a7cd3,,1,food,ItemTemplate_Consumable_Quest_EtherbloomCrumble
flavor,Template/flavor_locString_2543871262668956605_54d4087cb88c5234db2b6f7b8f0ba0ef,Testing lorem ipsum this thing here bla bla bla  Testing lorem ipsum this thing here bla bla bla  Testing lorem ipsum this thing here bla bla bla ,1,potion,ItemTemplate_Alchemy_AmbiguousBlessingsPotion
flavor,Template/flavor_locString_2543871262668956605_5919764dc15c915479a90f05032a273f,,1,potion,ItemTemplate_Alchemy_TrickshotPotion
flavor,Template/flavor_locString_2543871262668956605_5e7e1c59660c0834e8b03b12f891685b,,1,food,ItemTemplate_Cooking_Custom_CheeseBun
flavor,Template/flavor_locString_2543871262668956605_5f0ac81d3381624409bbf69a47dc5c35,A potion created by people studying monsters.,1,potion,ItemTemplate_Alchemy_MonstrousDebris
flavor,Template/flavor_locString_2543871262668956605_5f83be37ddaa7fc44a50c5544d7bb94a,,1,food,ItemTemplate_Crafting_Alchemy_Wyrdmeat
flavor,Template/flavor_locString_2543871262668956605_5ff275913bfb2614dbeb30f2eaf5fc1d,A potion created by people studying monsters.,1,potion,ItemTemplate_Alchemy_IronBlood
flavor,Template/flavor_locString_2543871262668956605_68c1677f5f1d79a458b0ebc307a1d0d9,A potion the druids used to always keep close at hand.,3,potion,ItemTemplate_Alchemy_BeesNectar | ItemTemplate_Alchemy_DruidsFriend | ItemTemplate_Alchemy_QueensHoney
flavor,Template/flavor_locString_2543871262668956605_699f42bf4eca7d14295a6f71d84ac516,The most powerful healing potion capable of bringing someone back from the brink of death.,1,potion,ItemTemplate_Alchemy_GreatHealthPotion
flavor,Template/flavor_locString_2543871262668956605_70950703d3587b347a933b46c4e65871,,1,potion,ItemTemplate_Alchemy_RespecPotion
flavor,Template/flavor_locString_2543871262668956605_7325063ba41d2ff4a94a932d9406a7c7,,1,food,ItemTemplate_Crafting_Alchemy_UmbilicalCord
flavor,Template/flavor_locString_2543871262668956605_777b23c9a3271d54cab4dc4a0950d9a5,Common remedy for various ailments.,1,potion,ItemTemplate_Alchemy_HealingTincture
flavor,Template/flavor_locString_2543871262668956605_789cc714247799441b071e018d6e83ee,,1,food,ItemTemplate_Crafting_Alchemy_MonsterBlood
flavor,Template/flavor_locString_2543871262668956605_7904ea5e2c61c104ab09099ef99ea2fa,A potion based on the forbidden alchemy of viscera.,1,potion,ItemTemplate_Alchemy_MonsterDialysisTonic
flavor,Template/flavor_locString_2543871262668956605_79c63e3762dc8f84a93496b1074dd244,Some battles need a bit of a spark.,1,potion,ItemTemplate_CrazyConsumable_FlameResin
flavor,Template/flavor_locString_2543871262668956605_7a0082a19240bc246a6662f4ab70be89,Druidic potion for performing complex rituals.,3,potion,ItemTemplate_Alchemy_SoS_Quest_TheDiscreetRemedy | ItemTemplate_Alchemy_SoS_SparklingSeawaterMana | ItemTemplate_Alchemy_StrongManaPotion
flavor,Template/flavor_locString_2543871262668956605_7b2c5ab64e18b8341be2663e9292af23,,1,potion,ItemTemplate_Alchemy_CerebroSpinalWater
flavor,Template/flavor_locString_2543871262668956605_7c2f94b799b3bb745a11f9390a853917,,1,potion,ItemTemplate_Alchemy_SoS_FullSailMaxStamina
flavor,Template/flavor_locString_2543871262668956605_83b7a9b181b6c8b4099fa49d579247ff,,1,food,ItemTemplate_Crafting_Alchemy_Wolfsbane
flavor,Template/flavor_locString_2543871262668956605_8699b0ce8312f12449558fea636b8878,"A mysterious, experimental elixir by Jann Heber. Its effects are unknown. Consume at your own risk!",1,potion,ItemTemplate_ItemStory_HoS_HebersElixir
flavor,Template/flavor_locString_2543871262668956605_883de231faa29f54d8959c3b3c1bab88,,1,potion,ItemTemplate_Alchemy_AntiAgingMedicine
flavor,Template/flavor_locString_2543871262668956605_8df141114b411974fb0e72aee5b6fb10,A special potion invented by Jann Heber.,1,potion,ItemTemplate_Alchemy_KeepersVigor
flavor,Template/flavor_locString_2543871262668956605_8f5a0ea2b0ef4ec4aa251a22705c341b,A dangerous druidic potion.,1,potion,ItemTemplate_Alchemy_Chaga
flavor,Template/flavor_locString_2543871262668956605_9e49c3e9b772b2c42a13458d973e97cf,A dangerous druidic potion.,1,potion,ItemTemplate_Alchemy_PowderofSympathy
flavor,Template/flavor_locString_2543871262668956605_a2c6b5b4cbc44b741b5a743650140cba,,1,food,ItemTemplate_Cooking_Custom_CabbageRolls
flavor,Template/flavor_locString_2543871262668956605_a369d5ba18ee3bd47962716b0af82b1d,,1,food,ItemTemplate_Cooking_Custom_FriedFish
flavor,Template/flavor_locString_2543871262668956605_a5c85c299664eb949bcb9bcee35d8eb3,,1,potion,ItemTemplate_Alchemy_HuntersLuckPotion
flavor,Template/flavor_locString_2543871262668956605_a60aac746acf0014180326758216f94f,A potion made according to a druidic recipe.,1,potion,ItemTemplate_Alchemy_FortifyingBeverage
flavor,Template/flavor_locString_2543871262668956605_a68c02cd0c5ef4d4aa16535f37a7b908,,1,potion,ItemTemplate_Alchemy_SwiftHands
flavor,Template/flavor_locString_2543871262668956605_a8d04374b2268c443bff0632ab6839dc,,1,potion,ItemTemplate_Alchemy_CallersGrace
flavor,Template/flavor_locString_2543871262668956605_a976f8c8d2c63324f99a2eb43e43fd76,A mysterious potion of the druids.,1,potion,ItemTemplate_Alchemy_SacredConcoction
flavor,Template/flavor_locString_2543871262668956605_aa17a317d745642438aac997b9de0831,A potion that the druids didn't want to share with anyone else.,1,potion,ItemTemplate_Alchemy_SacredElixir
flavor,Template/flavor_locString_2543871262668956605_aa229c7d00512c44b9754c80602b3007,"A potion of the Dál Riata tribes, it works like most of their potions.",1,potion,ItemTemplate_Alchemy_Fireball
flavor,Template/flavor_locString_2543871262668956605_b02de9b4d21b7544b83f8daf72b17bf0,A potion created by people studying monsters.,1,potion,ItemTemplate_Alchemy_IronBack
flavor,Template/flavor_locString_2543871262668956605_b1c234f58c7ec91489a5f511687da8cb,Folk witchcraft. Intended for young lads who long for hours of passionate love.,1,potion,ItemTemplate_Alchemy_LovingWitchBrew
flavor,Template/flavor_locString_2543871262668956605_b1ddceda57b38ce43b1fb6d82483d35f,Most common druidic potion.,1,potion,ItemTemplate_Alchemy_HealthPotion
flavor,Template/flavor_locString_2543871262668956605_b2359faa364389445a6cf54f9b30a41c,It is not fighting dirty if your opponent is stronger than you in the first place.,1,potion,ItemTemplate_CrazyConsumable_PurgingSteel
flavor,Template/flavor_locString_2543871262668956605_b59e35fc64567bd40b36dbd7a97ef979,,5,potion,ItemTemplate_Alchemy_EssenceOfCold | ItemTemplate_Alchemy_EssenceOfFire | ItemTemplate_Alchemy_PrecisionPotion | ItemTemplate_Alchemy_RapidShooterMixture | ItemTemplate_Alchemy_TenaciousArcher
flavor,Template/flavor_locString_2543871262668956605_bb296293b8bf193419be90080eadda56,Potion of the Dál Riata.,1,potion,ItemTemplate_Alchemy_ThrillSeekersBrew
flavor,Template/flavor_locString_2543871262668956605_bb723c89ae600584a912d18471f9667b,It is like Health Potion but less watery.,1,potion,ItemTemplate_Alchemy_StrongHealthPotion
flavor,Template/flavor_locString_2543871262668956605_be9c83c0568b8444ca91a75bb46077f8,A common herbal-scented concoction. ,1,potion,ItemTemplate_Alchemy_AromaticRemedy
flavor,Template/flavor_locString_2543871262668956605_c01d46f1289ca7144bb6f6116fcb89aa,A potion of the Dál Riata Berserkers.,1,potion,ItemTemplate_Alchemy_LastStand
flavor,Template/flavor_locString_2543871262668956605_c2f4784d56f7dc746b9fd85b0d0c60c8,,2,potion,ItemTemplate_Alchemy_SoS_BlessingOfSarrasInABottle | ItemTemplate_Alchemy_SoS_SeaLegsBrewHealthPercent
flavor,Template/flavor_locString_2543871262668956605_c423d5424b1c0bc4e8b6513e97c2790b,A rare druidic potion.,1,potion,ItemTemplate_Alchemy_WildvinePulp
flavor,Template/flavor_locString_2543871262668956605_c519f05667275fe478b4711a732ecacd,,1,food,ItemTemplate_Crafting_Alchemy_Bloodclot
flavor,Template/flavor_locString_2543871262668956605_c51e5b5429c453e49827143b93fe07f5,,1,potion,ItemTemplate_Alchemy_ElixirOfFastWalking
flavor,Template/flavor_locString_2543871262668956605_c7a252d84abdc16428bae2fba9766cf7,"A bit of toxin can confuse one so much, that they forget who is a friend and who is an enemy.",1,potion,ItemTemplate_Alchemy_DreadfulMush
flavor,Template/flavor_locString_2543871262668956605_c7e3248fb4abf5e488959b1a78ba31ae,,1,food,ItemTemplate_Crafting_Alchemy_Rose
flavor,Template/flavor_locString_2543871262668956605_cf36111f68cfc3a4f87ee1f063d800ed,,1,food,ItemTemplate_Crafting_Alchemy_MonsterBrain
flavor,Template/flavor_locString_2543871262668956605_d244af69749dc8d4ea3e8a69de965c3d,,1,food,ItemTemplate_Cooking_Custom_FriedCheese
flavor,Template/flavor_locString_2543871262668956605_d2a004637e74d234cb56541e6fc67884,Potion used mostly by the Ulfr tribe of the Dál Riata.,1,potion,ItemTemplate_Alchemy_WolfHunger
flavor,Template/flavor_locString_2543871262668956605_d2f03e9132d06fd40ab2297580882d64,Haste makes waste.,1,potion,ItemTemplate_CrazyConsumable_FoolsRush
flavor,Template/flavor_locString_2543871262668956605_d772bbcb53ac48843b658466550cb8a1,The best medicine for stomach ache.,1,potion,ItemTemplate_Alchemy_Stomachic
flavor,Template/flavor_locString_2543871262668956605_d7d1024b956559d45999866fbfba04dc,,1,potion,ItemTemplate_Alchemy_SoS_KelpDecoctionBetterHealth
flavor,Template/flavor_locString_2543871262668956605_d870cdfe134f50f4bb8a8c622622261b,It smells like the iron it bites into.,1,potion,ItemTemplate_Alchemy_CorrosiveBlood
flavor,Template/flavor_locString_2543871262668956605_da80d847687f5f345a2359e07fe184db,Druidic healing potion that makes people tipsy even though it contains no alcohol.,1,potion,ItemTemplate_Alchemy_FaerieMush
flavor,Template/flavor_locString_2543871262668956605_de842128ae26ceb45b6625190805c0d4,The best medicine for stomach ache.,1,potion,ItemTemplate_Alchemy_StomachicSecondVariant
flavor,Template/flavor_locString_2543871262668956605_ea7dbae975ffe0740a7b41919dd68f5d,Missing,1,potion,ItemTemplate_Alchemy_BloodcurdlingReagent
flavor,Template/flavor_locString_2543871262668956605_ec695d600e5b37143a2adce4da531809,,1,potion,ItemTemplate_Alchemy_PlentifulResourcePotion
flavor,Template/flavor_locString_2543871262668956605_edad7eed355a9c94985dd83f0be00b55,,1,food,ItemTemplate_Crafting_Alchemy_BurdockRoot
flavor,Template/flavor_locString_2543871262668956605_ee28fc281073a4048b9822b552f56962,,1,potion,ItemTemplate_Alchemy_SoS_GillsOfTheDeepUnderwater
flavor,Template/flavor_locString_2543871262668956605_eebf3b56fa783d44398471d9a64b31bb,,1,potion,ItemTemplate_Alchemy_StagfathersTonic
flavor,Template/flavor_locString_2543871262668956605_eee12d0c959352b4bbd32c39a77cbe67,Supposedly for a curse. Smells weird. Looks weird. Drinking may cause a burning sensation.,1,potion,ItemTemplate_ItemStory_CT_MaggotTposeElixir
flavor,Template/flavor_locString_2543871262668956605_f344a1665c1fc144db60455080ed1d6d,"This potion will kill a dragon, let alone a man.",1,potion,ItemTemplate_Alchemy_TheStrongestPotion
flavor,Template/flavor_locString_2543871262668956605_f46517d4c870eee4cb6873aba99f97c5,,1,food,ItemTemplate_Crafting_Cooking_Cabbage
flavor,Template/flavor_locString_2543871262668956605_f602390f7567ce544b4154fdbb7fbcad,,1,potion,ItemTemplate_Alchemy_VigorTea
flavor,Template/flavor_locString_2543871262668956605_f7b7ff9cbc421a847b1822bead4b4cc2,Folk remedy used to cure problems with digestion.,1,potion,ItemTemplate_Alchemy_DigestionTincture
flavor,Template/flavor_locString_2543871262668956605_f9737715264d4764e888f5579504450b,,1,food,ItemTemplate_Cooking_Custom_OnionBun
flavor,Template/flavor_locString_2543871262668956605_f9c36d379b9b9bc4fa6a5df6a5afdcea,The favorite potion among Kamelot's spellcasters.,2,potion,ItemTemplate_Alchemy_ManaElixir | ItemTemplate_Alchemy_SoS_HeadAboveWaterManaPercent
flavor,Template/flavor_locString_2543871262668956605_fd3d057e2c874ab4d9adfb14a5d2a3f8,Missing,1,potion,ItemTemplate_Alchemy_DesolateOnesConsolation
